Name,API Name,CoreMark Score,Compute Family,FFmpeg FPS,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Windows On Demand cost,Windows Reserved cost
A1 Double Extra Large,a1.2xlarge,"95,158.796",General purpose,22.0 fps,16 GiB,8 vCPUs,EBS only,Up to 10 Gigabit,,,,,
A1 Quadruple Extra Large,a1.4xlarge,"190,136.661",General purpose,42.0 fps,32 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,,,,,
A1 Large,a1.large,"23,457.659",General purpose,,4 GiB,2 vCPUs,EBS only,Up to 10 Gigabit,,,,,
A1 Medium,a1.medium,"11,877.895",General purpose,,2 GiB,1 vCPUs,EBS only,Up to 10 Gigabit,,,,,
A1 Metal,a1.metal,"192,539.11",General purpose,44.0 fps,32 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,,,,,
A1 Extra Large,a1.xlarge,"47,619.048",General purpose,12.0 fps,8 GiB,4 vCPUs,EBS only,Up to 10 Gigabit,,,,,
C1 High-CPU Medium,c1.medium,"19,882.512",Compute optimized,,1.7 GiB,2 vCPUs,350 GB HDD,Moderate,$0.148 hourly,$0.111 hourly,$0.0158 hourly,$0.228 hourly,$0.203 hourly
C1 High-CPU Extra Large,c1.xlarge,"96,298.525",Compute optimized,32.0 fps,7 GiB,8 vCPUs,1680 GB (4×420 GB HDD),High,$0.592 hourly,$0.444 hourly,$0.1063 hourly,$0.912 hourly,$0.815 hourly
C3 High-CPU Double Extra Large,c3.2xlarge,"118,729.593",Compute optimized,42.0 fps,15 GiB,8 vCPUs,160 GB (2×80 GB SSD),High,$0.478 hourly,$0.36 hourly,$0.2086 hourly,$0.752 hourly,$0.741 hourly
C3 High-CPU Quadruple Extra Large,c3.4xlarge,"237,988.993",Compute optimized,80.0 fps,30 GiB,16 vCPUs,320 GB (2×160 GB SSD),High,$0.956 hourly,$0.72 hourly,$0.3153 hourly,$1.504 hourly,$1.482 hourly
C3 High-CPU Eight Extra Large,c3.8xlarge,"483,944.145",Compute optimized,140.0 fps,60 GiB,32 vCPUs,640 GB (2×320 GB SSD),10 Gigabit,$1.912 hourly,$1.44 hourly,$0.7572 hourly,$3.008 hourly,$2.961 hourly
C3 High-CPU Large,c3.large,"29,520.295",Compute optimized,,3.75 GiB,2 vCPUs,32 GB (2×16 GB SSD),Moderate,$0.12 hourly,$0.09 hourly,$0.0212 hourly,$0.188 hourly,$0.186 hourly
C3 High-CPU Extra Large,c3.xlarge,"58,593.75",Compute optimized,21.0 fps,7.5 GiB,4 vCPUs,80 GB (2×40 GB SSD),Moderate,$0.239 hourly,$0.18 hourly,$0.0847 hourly,$0.376 hourly,$0.371 hourly
C4 High-CPU Double Extra Large,c4.2xlarge,"137,824.102",Compute optimized,42.0 fps,15 GiB,8 vCPUs,EBS only,High,$0.498 hourly,$0.34 hourly,$0.1428 hourly,$0.866 hourly,$0.708 hourly
C4 High-CPU Quadruple Extra Large,c4.4xlarge,"268,006.7",Compute optimized,85.0 fps,30 GiB,16 vCPUs,EBS only,High,$0.997 hourly,$0.68 hourly,$0.2955 hourly,$1.733 hourly,$1.416 hourly
C4 High-CPU Eight Extra Large,c4.8xlarge,"597,510.373",Compute optimized,155.0 fps,60 GiB,36 vCPUs,EBS only,10 Gigabit,$1.993 hourly,$1.361 hourly,$0.6715 hourly,$3.536 hourly,$3.017 hourly
C4 High-CPU Large,c4.large,"31,678.986",Compute optimized,,3.75 GiB,2 vCPUs,EBS only,Moderate,$0.124 hourly,$0.085 hourly,$0.0404 hourly,$0.216 hourly,$0.177 hourly
C4 High-CPU Extra Large,c4.xlarge,"67,358.967",Compute optimized,24.0 fps,7.5 GiB,4 vCPUs,EBS only,High,$0.249 hourly,$0.17 hourly,$0.0838 hourly,$0.433 hourly,$0.354 hourly
C5 High-CPU 12xlarge Extra Large,c5.12xlarge,"789,311.408",Compute optimized,178.0 fps,96 GiB,48 vCPUs,EBS only,12 Gigabit,$2.544 hourly,$1.603 hourly,$0.5851 hourly,$4.752 hourly,$3.811 hourly
C5 High-CPU 18xlarge,c5.18xlarge,"1,142,358.494",Compute optimized,183.0 fps,144 GiB,72 vCPUs,EBS only,25 Gigabit,$3.816 hourly,$2.404 hourly,$1.3161 hourly,$7.128 hourly,$5.716 hourly
C5 High-CPU 24xlarge,c5.24xlarge,"1,626,773.989",Compute optimized,192.0 fps,192 GiB,96 vCPUs,EBS only,25 Gigabit,$5.088 hourly,$3.205 hourly,$1.6734 hourly,$9.504 hourly,$7.621 hourly
C5 High-CPU Double Extra Large,c5.2xlarge,"132,664.483",Compute optimized,45.0 fps,16 GiB,8 vCPUs,EBS only,Up to 10 Gigabit,$0.424 hourly,$0.267 hourly,$0.1474 hourly,$0.792 hourly,$0.635 hourly
C5 High-CPU Quadruple Extra Large,c5.4xlarge,"262,069.53",Compute optimized,87.0 fps,32 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,$0.848 hourly,$0.534 hourly,$0.3103 hourly,$1.584 hourly,$1.27 hourly
C5 High-CPU 9xlarge,c5.9xlarge,"572,906.306",Compute optimized,165.0 fps,72 GiB,36 vCPUs,EBS only,12 Gigabit,$1.908 hourly,$1.202 hourly,$0.868 hourly,$3.564 hourly,$2.858 hourly
C5 High-CPU Large,c5.large,"33,103.448",Compute optimized,,4 GiB,2 vCPUs,EBS only,Up to 10 Gigabit,$0.106 hourly,$0.067 hourly,$0.0308 hourly,$0.198 hourly,$0.159 hourly
C5 High-CPU Metal,c5.metal,"1,609,657.948",Compute optimized,192.0 fps,192 GiB,96 vCPUs,EBS only,25 Gigabit,$5.088 hourly,$3.205 hourly,$0.8977 hourly,$9.504 hourly,$7.621 hourly
C5 High-CPU Extra Large,c5.xlarge,"72,684.323",Compute optimized,27.0 fps,8 GiB,4 vCPUs,EBS only,Up to 10 Gigabit,$0.212 hourly,$0.134 hourly,$0.0781 hourly,$0.396 hourly,$0.318 hourly
C5A 12xlarge Extra Large,c5a.12xlarge,"891,199.406",Compute optimized,176.0 fps,96 GiB,48 vCPUs,EBS only,12 Gigabit,$2.28 hourly,$1.436 hourly,$0.7655 hourly,$4.488 hourly,$3.644 hourly
C5A 16xlarge Extra Large,c5a.16xlarge,"1,197,828.935",Compute optimized,184.0 fps,128 GiB,64 vCPUs,EBS only,20 Gigabit,$3.04 hourly,$1.915 hourly,$0.9421 hourly,$5.984 hourly,$4.859 hourly
C5A 24xlarge,c5a.24xlarge,"1,782,067.941",Compute optimized,209.0 fps,192 GiB,96 vCPUs,EBS only,20 Gigabit,$4.56 hourly,$2.873 hourly,$1.3221 hourly,$8.976 hourly,$7.289 hourly
C5A Double Extra Large,c5a.2xlarge,"145,348.837",Compute optimized,54.0 fps,16 GiB,8 vCPUs,EBS only,Up to 10 Gigabit,$0.38 hourly,$0.239 hourly,$0.1492 hourly,$0.748 hourly,$0.607 hourly
C5A Quadruple Extra Large,c5a.4xlarge,"290,552.504",Compute optimized,101.0 fps,32 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,$0.76 hourly,$0.479 hourly,$0.3288 hourly,$1.496 hourly,$1.215 hourly
C5A Eight Extra Large,c5a.8xlarge,"587,155.963",Compute optimized,161.0 fps,64 GiB,32 vCPUs,EBS only,10 Gigabit,$1.52 hourly,$0.958 hourly,$0.6434 hourly,$2.992 hourly,$2.43 hourly
